"year","forecast_horizon","intercept","A","D","E","AC","t_intercept","t_A","t_D","t_E","t_AC","adj_r_squared"
1981,3,2.78271164868831,0.0318552574844911,0.896892869250884,0.358671177735404,0.0783684774160169,2.1355680349421,2.66916719130474,2.15111074120245,1.94190033357526,0.948822110362151,0.793570679456847
1982,3,4.18532706822833,0.0276082171598665,1.22204895061707,0.190942522845287,0.0564662481240491,3.40957480604201,2.4358332773026,3.4955580661623,1.28725904361624,0.80082433476153,0.793577071592011
1983,3,6.11838422615799,0.0216685655904991,1.25653242108027,0.172104912534119,0.037744995232494,3.35821205702985,1.80474780526454,3.33334337583164,1.25334398560634,0.558509104760575,0.745771524172994
1984,3,7.60907684408554,0.0111365454226572,1.13103405425492,0.302022359263215,0.000704367236054246,3.18402456858429,0.852035700086976,2.74729787767964,1.96130789877874,0.0103353962922516,0.699633969625086
1985,3,8.37401657461747,0.00175749573455297,0.4901098864746,0.646081200120898,-0.0730998791038482,3.37896897163698,0.135777594647289,1.09292038567426,3.41442588093159,-1.04014943609858,0.649388211719163
1986,3,7.86908580962479,0.00108009564423174,0.38372356247922,0.717952002603911,-0.0398006307582504,3.42850568265353,0.101821341067272,0.95032620328947,4.27270738037634,-0.651019868683722,0.645316618550784
1987,3,7.9085815440881,0.00291857881520696,0.20061825406776,0.771151895786508,-0.0552884225038408,3.3384730814351,0.297487519936814,0.536355384761193,5.01442004259519,-1.07851153090629,0.64506726966643
1988,3,7.5872245646632,0.00919399220229817,0.14939707614491,0.688557728653445,-0.0540181179075003,3.04541265755027,1.05419869989834,0.513877906977932,5.62286620865011,-1.17550669837966,0.638484470116836
1989,3,8.68117881714233,-0.000229373691826944,0.316880430926483,0.699919104001455,-0.0925113062623712,3.20381155752286,-0.0256161597364333,1.32816957686901,6.23875209758453,-1.92404996133641,0.6371944429271
1990,3,11.78763211821,-0.0134602210729546,0.603436959353638,0.665846191873265,-0.0945610326225932,4.0945074722457,-1.64057619555658,2.27869747874964,7.33757470343791,-1.92592564955159,0.55775419129837
1991,3,12.9845255674256,-0.0114354733366851,0.529754142080569,0.63150121309782,-0.0760344469415664,5.04009784024055,-2.19089297884384,2.27423937728383,7.21097853727122,-1.58820361055205,0.47640289117499
1992,3,12.7618790041592,-0.0036883174877801,0.366376167822392,0.556835883223405,-0.0660162276313852,4.66329613505068,-1.04472594996441,1.62573664014857,6.01201263747069,-1.35232733722025,0.413870565250293
1993,3,10.729499775049,0.00254606423693171,0.572379501939552,0.389325124832935,-0.0602029953196008,4.10207569678882,0.889307397802442,2.73922486084781,4.02230026848464,-1.29527046356963,0.433203033594403
1994,3,10.07148537718,0.00592405110781197,0.685378933541209,0.303331787508199,-0.0652388651739903,4.09082142591264,2.67141261769878,3.40972647285159,3.21505411841694,-1.4309433942405,0.462334046994989
1995,3,9.19343552831111,0.00731361860457203,0.620117552587683,0.353908809809368,-0.100227854604018,3.95558641331495,4.27573363127765,3.38527350123297,4.0155294254714,-2.38988553576771,0.511432313804895
