"year","forecast_horizon","intercept","EPS","t_intercept","t_EPS","adj_r_squared"
1994,5,0.0156841914770297,1.05119545060202,0.0985959329569025,3.95743060734964,0.0189763874184964
1995,5,-0.0625625809319522,1.22238971159114,-0.338846711010732,3.71062446345937,0.0169827615379391
1996,5,-0.126632725182242,1.36238966501637,-0.634610638420472,3.74130453440173,0.0184032327746418
1997,5,-0.260804765303795,1.59202653864419,-1.08592125978635,3.64006940419166,0.0169711403393461
1998,5,-0.32392002603646,1.63332494027632,-1.27228265181268,3.64724975320133,0.0173242871406483
1999,5,-0.345979602349843,1.75763390525561,-1.33464888256817,3.65350271044117,0.0129814437983962
2000,5,-0.595984424089828,2.34437297576925,-1.43266439234468,2.95828529810584,0.010039319462396
2001,5,-0.848772399535226,2.92463361780856,-1.65960017708071,2.94520467682053,0.0102624648802374
2002,5,-0.967562028936279,3.36426337624009,-1.76922310812201,2.98746646142322,0.00953007447762133
2003,5,-0.960595470699296,3.77855599854651,-1.66223898122544,2.85201056413578,0.0076594796817443
2004,5,-1.19618409499317,4.53204410250382,-1.76523808550066,2.79926182610124,0.00708980960807326
2005,5,-1.47580002082927,4.91105227897023,-1.95881308852146,2.84518965614281,0.00793963398688013
2006,5,-1.51642466755224,4.79908230689687,-1.96729181061571,2.79106927933704,0.00770493268475936
2007,5,-1.62571179245964,4.8248870314796,-1.89612870925793,2.68681008001449,0.00820327701946899
2008,5,-1.9780464139016,5.2003516503008,-1.9135302629947,2.6557192320392,0.0101215672522063
2009,5,-1.76791163447115,4.84225062731758,-1.83275300260515,2.6332654293543,0.00972516219308706
2010,5,-0.783357304660463,3.70703426162639,-1.18510693639194,2.43816037869333,0.00721199618733448
2011,5,-0.338893243264053,3.08238292017017,-0.658376671595728,2.29828969873766,0.00593982308506402
2012,5,-0.314447923181355,2.65223316478001,-0.569301586766086,2.08245227371853,0.00525079021820274
2013,5,-0.262644441242525,2.00494468381783,-0.462370409335439,1.89835529581209,0.00473055112215226
2014,5,0.219796310708173,1.05189050830984,1.00208775094494,2.86643215557742,0.0102800247134172
2015,5,0.496612426755818,0.739231502855258,9.63578077352963,11.5645513932089,0.107295760626373
2016,5,0.50386508187284,0.851481304137606,9.15965285887144,12.5926811360013,0.12924671662318
2017,5,0.465268475719052,0.92659402265679,7.91177868812069,13.0589507480188,0.132251219570623
2018,5,0.546652728071095,1.05026922180272,8.9318865932059,13.504101491731,0.13615919642492
2019,5,0.543469981007602,1.1433587541074,8.2066535902082,13.2835180633143,0.129911297319846
2020,5,0.301647515518355,1.28264451698932,3.70406323603084,13.0952798745478,0.14642492092495
2021,5,0.175625515498245,1.32561094123354,1.74233067338572,12.0219966945645,0.155140546891991
2022,5,0.185349175617753,1.38207752612934,1.58886153529527,11.0539430182483,0.172805231348008
2023,5,0.204056542972881,1.43797916638622,1.47805996896438,9.95656938442182,0.18789436237147
